id,vault,vaultDecimals,underlyingDecimals,underlying,vaultName,meta.chain,__genBlockChain__
0x73429B026A39d8F1F3637D419e7945D15fbAEBbC,0x73429B026A39d8F1F3637D419e7945D15fbAEBbC,18.0,6.0,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,Hyperstable USOL/USDT0,999,999
0x4A94CE154637AF4cE1C26E47A2Dcb1a08bf7Bf9B,0x4A94CE154637AF4cE1C26E47A2Dcb1a08bf7Bf9B,18.0,6.0,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,testVaultBigBlock2,999,999
0x7bdB0F32ceE4847407BFd391594E19b23f5519D0,0x7bdB0F32ceE4847407BFd391594E19b23f5519D0,18.0,6.0,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,Yearn Degen USDT0,999,999
0x08C00F8279dFF5B0CB5a04d349E7d79708Ceadf3,0x08C00F8279dFF5B0CB5a04d349E7d79708Ceadf3,18.0,6.0,0xb88339CB7199b77E23DB6E890353E22632Ba630f,Gauntlet USDC,999,999
0x835FEBF893c6DdDee5CF762B0f8e31C5B06938ab,0x835FEBF893c6DdDee5CF762B0f8e31C5B06938ab,18.0,18.0,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,Felix USDe,999,999
0x8A862fD6c12f9ad34C9c2ff45AB2b6712e8CEa27,0x8A862fD6c12f9ad34C9c2ff45AB2b6712e8CEa27,18.0,6.0,0xb88339CB7199b77E23DB6E890353E22632Ba630f,Felix USDC,999,999
0xF1995284091039110173965a321f06E0705cC8Be,0xF1995284091039110173965a321f06E0705cC8Be,18.0,6.0,0xb50A96253aBDF803D85efcDce07Ad8becBc52BD5,Gauntlet USDhl Vault,999,999
0x2900ABd73631b2f60747e687095537B673c06A76,0x2900ABd73631b2f60747e687095537B673c06A76,18.0,18.0,0x5555555555555555555555555555555555555555,Felix HYPE,999,999
0x9f6d209C5490127db486dfE2fEEBe5EACB457062,0x9f6d209C5490127db486dfE2fEEBe5EACB457062,18.0,6.0,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,Hyperstable WEETH/USDT0,999,999
0xE25514992597786E07872e6C5517FE1906C0CAdD,0xE25514992597786E07872e6C5517FE1906C0CAdD,18.0,6.0,0xb88339CB7199b77E23DB6E890353E22632Ba630f,GlueX USDC,999,999
0x3c0A76f9B2286E98Cb4911969141129D21C6f658,0x3c0A76f9B2286E98Cb4911969141129D21C6f658,18.0,18.0,0x5555555555555555555555555555555555555555,Vaultik HYPE,999,999
0x5555576F8cb8AFCE7D63A146DA1d60d787B55555,0x5555576F8cb8AFCE7D63A146DA1d60d787B55555,18.0,18.0,0x5555555555555555555555555555555555555555,Morph HYPE,999,999
0x521E0f152a8e0ABCDd1db9808668De46B0a2FF20,0x521E0f152a8e0ABCDd1db9808668De46B0a2FF20,18.0,6.0,0xb50A96253aBDF803D85efcDce07Ad8becBc52BD5,YieldMaxxxy,999,999
0x4A0388A8E1B79A0830fCC5dA68e955406D171787,0x4A0388A8E1B79A0830fCC5dA68e955406D171787,18.0,6.0,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,GOATed Vault,999,999
0xca2fC88299Ee850A2deeA0C5661061179cdFDb85,0xca2fC88299Ee850A2deeA0C5661061179cdFDb85,18.0,6.0,0xb88339CB7199b77E23DB6E890353E22632Ba630f,Steakhouse High Yield USDC,999,999
0x0BD183daf279809ee1AD8cF600004844f5220194,0x0BD183daf279809ee1AD8cF600004844f5220194,18.0,6.0,0xb88339CB7199b77E23DB6E890353E22632Ba630f,test,999,999
0xF0A23671A810995B04A0f3eD08be86797B608D78,0xF0A23671A810995B04A0f3eD08be86797B608D78,18.0,6.0,0xb88339CB7199b77E23DB6E890353E22632Ba630f,Hyperithm USDC,999,999
0x8F9291606862eEf771a97e5B71e4B98fd1Fa216a,0x8F9291606862eEf771a97e5B71e4B98fd1Fa216a,18.0,18.0,0x5555555555555555555555555555555555555555,GlueX HYPE,999,999
0x6d782386851Cf779375ccFBdF92C9E6A38196EF1,0x6d782386851Cf779375ccFBdF92C9E6A38196EF1,18.0,18.0,0x5555555555555555555555555555555555555555,Hyperstable WHYPE/WHYPE,999,999
0x9c59a9389D8f72DE2CdAf1126F36EA4790E2275e,0x9c59a9389D8f72DE2CdAf1126F36EA4790E2275e,18.0,6.0,0xb50A96253aBDF803D85efcDce07Ad8becBc52BD5,Felix USDhl,999,999
0xB6aad92387F62B16dB6FA12C302B0e5724e97F12,0xB6aad92387F62B16dB6FA12C302B0e5724e97F12,18.0,6.0,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,AA Quad USDT0 Vault,999,999
0xF4CFB31c734A4560D074E5ff76Ba438837D29221,0xF4CFB31c734A4560D074E5ff76Ba438837D29221,18.0,6.0,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,Hyperstable UBTC/USDT0,999,999
0x4851D4891321035729713D43bE1F4bb883Dffd34,0x4851D4891321035729713D43bE1F4bb883Dffd34,18.0,6.0,0xb88339CB7199b77E23DB6E890353E22632Ba630f,MEV Capital USDC,999,999
0x63Cf7EE583d9954FeBF649aD1c40C97a6493b1Be,0x63Cf7EE583d9954FeBF649aD1c40C97a6493b1Be,18.0,18.0,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,GlueX USDe,999,999
0x1730b28C4Dff6E0b412D873c7Eb03A9FBBc90081,0x1730b28C4Dff6E0b412D873c7Eb03A9FBBc90081,18.0,18.0,0x5555555555555555555555555555555555555555,Hyperstable KHYPE/WHYPE,999,999
