aprBreakdown,aprTotal,borrowAprBreakdown,borrowAprTotal,borrowSharePrice,collateralAprBreakdown,collateralAprTotal,debt,distinctId,eventName,lastApr,lastRate,lastUpdatedAt,message,meta.address,meta.block_hash,meta.block_number,meta.chain,meta.contract,meta.log_index,meta.severity,meta.transaction_hash,meta.transaction_index,oracleAddress,protocol_id,supply,supplySharePrice,timestamp,underlyingSharePrice,usdSupply,vaultAddress,vaultName,vaultType
"[{""aprType"":""SINGLE"",""apr"":0,""aprMetadata"":""0x1c6b87ae1b97071ef444eedcba9f5a92cfe974edbbcaa1946644fc7ab0e283af""},{""aprType"":""SINGLE"",""apr"":0.0851,""aprMetadata"":""0xd5a9fba2309a0b85972a96f2cc45f9784e786d712944d8fc0b31a6d9cb4f21d3""},{""aprType"":""SINGLE"",""apr"":1.4983,""aprMetadata"":""0xd2e8f6fd195556222d7a0314d4fb93fdf84ae920faaebba6dbcf584ac865e1f5""},{""aprType"":""SINGLE"",""apr"":2.1378,""aprMetadata"":""0xfbe436e9aa361487f0c3e4ff94c88aea72887a4482c6b8bcfec60a8584cdb05e""},{""aprType"":""SINGLE"",""apr"":0.0151,""aprMetadata"":""0xfdece686f16877984325c7a1c192e0f18862bae3829d000a1a62b5bc2b31d4ef""},{""aprType"":""SINGLE"",""apr"":0.7442,""aprMetadata"":""0xf9f0473b23ebeb82c83078f0f0f77f27ac534c9fb227cb4366e6057b6163ffbf""},{""aprType"":""SINGLE"",""apr"":0.5162,""aprMetadata"":""0x6eb4ce92dc1d89abd40f9634249ec28e8ab4e3f9bef0ab47ea784773c140d4ef""},{""aprType"":""SINGLE"",""apr"":0.4777,""aprMetadata"":""0xd5c5b5db889eb5d4f4026b9704cddffbc1356732a37c2b543330c10756ae7a18""},{""aprType"":""SINGLE"",""apr"":0.1862,""aprMetadata"":""0x86d7bc359391486de8cd1204da45c53d6ada60ab9764450dc691e1775b2e8d69""},{""aprType"":""SINGLE"",""apr"":0.0388,""aprMetadata"":""0xd4fd53f612eaf411a1acea053cfa28cbfeea683273c4133bf115b47a20130305""}]","{""apr"":5.6994,""aprType"":""SINGLE""}","","",0.0,"","",0.0,"",AccrueInterest,5.6994,1.047309,1770880592.0,"",0x9896a8605763106e57a51aa0a97fe8099e806bb3,0xcf0dc269e6f57adbb4235b91be5de189be17daf35b178ac273859121ed1852d8,27070245,999,MetaMorpho,14,INFO,0xe5b7522f1853d812e82ccf3bb37b868ec1a7663cb1f7cac05f14791e71d7bd43,6,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_felix_usdt0_(frontier)_999,2452950.8586673113,1.047309,2026-02-12T07:16:32.000000+0000,1.0,2568905.16787136,0x9896a8605763106e57A51aa0a97Fe8099E806bb3,Felix USDT0 (Frontier),MetaMorpho
"[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_supply"",""apr"":9.9}]","{""apr"":9.9,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-10.5482}]","{""apr"":-10.5482,""aprType"":""SINGLE""}",1.0470073509928879,[],"{""apr"":0,""aprType"":""SINGLE""}",632633.41418,"",AccrueInterest,9.89996265948613,1.0407279936279283,1770880592.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0xcf0dc269e6f57adbb4235b91be5de189be17daf35b178ac273859121ed1852d8,27070245,999,Morpho,17,INFO,0xe5b7522f1853d812e82ccf3bb37b868ec1a7663cb1f7cac05f14791e71d7bd43,6,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdt0_0xd5a9fba2309a0b85972a96f2cc45f9784e786d712944d8fc0b31a6d9cb4f21d3_999,670012.316507,1.0407279936279283,2026-02-12T07:16:32.000000+0000,1.0,670012.316507,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDT0 0xd5a9,MorphoMarket
"[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_supply"",""apr"":4.1763}]","{""apr"":4.1763,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-4.7279}]","{""apr"":-4.7279,""aprType"":""SINGLE""}",1.0469869322585839,"[{""aprType"":""SINGLE"",""apr"":2.4652}]","{""apr"":2.4652,""aprType"":""SINGLE""}",1024605.905754,"",AccrueInterest,4.176271838477088,1.0405775977984324,1770880680.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0xdc6503fd5c4ef6908fa84b5ceeff3397f94af82f58758225aa9120343eff18ed,27070335,999,Morpho,18,INFO,0x17bc57db4a294a6824330beb29af74cba4b8546937af551a33524155cf787657,2,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdt0_0xfbe436e9aa361487f0c3e4ff94c88aea72887a4482c6b8bcfec60a8584cdb05e_999,1152841.106128,1.0405775977984324,2026-02-12T07:18:00.000000+0000,1.0,1152841.106128,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDT0 0xfbe4,MorphoMarket
"[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_supply"",""apr"":12.5187}]","{""apr"":12.5187,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-13.8191}]","{""apr"":-13.8191,""aprType"":""SINGLE""}",1.0470077291997648,[],"{""apr"":0,""aprType"":""SINGLE""}",632633.642704,"",AccrueInterest,12.518651862325092,1.0407283485935264,1770880680.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0xdc6503fd5c4ef6908fa84b5ceeff3397f94af82f58758225aa9120343eff18ed,27070335,999,Morpho,23,INFO,0x17bc57db4a294a6824330beb29af74cba4b8546937af551a33524155cf787657,2,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdt0_0xd5a9fba2309a0b85972a96f2cc45f9784e786d712944d8fc0b31a6d9cb4f21d3_999,694165.258613,1.0407283485935264,2026-02-12T07:18:00.000000+0000,1.0,694165.258613,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDT0 0xd5a9,MorphoMarket
"[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_supply"",""apr"":9.2646}]","{""apr"":9.2646,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-10.227}]","{""apr"":-10.227,""aprType"":""SINGLE""}",1.0499136073928246,"[{""aprType"":""SINGLE"",""apr"":2.1669}]","{""apr"":2.1669,""aprType"":""SINGLE""}",559864.721898,"",AccrueInterest,9.264589290101595,1.0432734721326473,1770880680.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0xdc6503fd5c4ef6908fa84b5ceeff3397f94af82f58758225aa9120343eff18ed,27070335,999,Morpho,29,INFO,0x17bc57db4a294a6824330beb29af74cba4b8546937af551a33524155cf787657,2,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdt0_0xd2e8f6fd195556222d7a0314d4fb93fdf84ae920faaebba6dbcf584ac865e1f5_999,614113.909295,1.0432734721326473,2026-02-12T07:18:00.000000+0000,1.0,614113.909295,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDT0 0xd2e8,MorphoMarket
"[{""aprType"":""SINGLE"",""apr"":0,""aprMetadata"":""0xe0a1de770a9a72a083087fe1745c998426aaea984ddf155ea3d5fbba5b759713""},{""aprType"":""SINGLE"",""apr"":0,""aprMetadata"":""0xa666cc1147beda1aa50fae4b40cb4c37a51230e84e80dcd31233487060913a8d""},{""aprType"":""SINGLE"",""apr"":0,""aprMetadata"":""0x96c7abf76aed53d50b2cc84e2ed17846e0d1c4cc28236d95b6eb3b12dcc86909""},{""aprType"":""SINGLE"",""apr"":8.2321,""aprMetadata"":""0x87272614b7a2022c31ddd7bba8eb21d5ab40a6bcbea671264d59dc732053721d""},{""aprType"":""SINGLE"",""apr"":0.0387,""aprMetadata"":""0x1f79fe1822f6bfe7a70f8e7e5e768efd0c3f10db52af97c2f14e4b71e3130e70""},{""aprType"":""SINGLE"",""apr"":1.4772,""aprMetadata"":""0xc0a3063a0a7755b7d58642e9a6d3be1c05bc974665ef7d3b158784348d4e17c5""}]","{""apr"":9.748000000000001,""aprType"":""SINGLE""}","","",0.0,"","",0.0,"",AccrueInterest,9.748000000000001,1.059388,1770880680.0,"",0x9c59a9389d8f72de2cdaf1126f36ea4790e2275e,0xdc6503fd5c4ef6908fa84b5ceeff3397f94af82f58758225aa9120343eff18ed,27070335,999,MetaMorpho,40,INFO,0x97c3507535c141b56bf2c228320715c72b821e72271404a87246028c58f33d72,3,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_felix_usdhl_999,484650.13676495134,1.059388,2026-02-12T07:18:00.000000+0000,1.0,513425.9315413121,0x9c59a9389D8f72DE2CdAf1126F36EA4790E2275e,Felix USDhl,MetaMorpho
"[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_supply"",""apr"":0.0539}]","{""apr"":0.0539,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-0.4756}]","{""apr"":-0.4756,""aprType"":""SINGLE""}",1.0305048471948526,"[{""aprType"":""SINGLE"",""apr"":2.3084}]","{""apr"":2.3084,""aprType"":""SINGLE""}",40534.589655,"",AccrueInterest,0.05393949219401062,1.0266670041029853,1770880680.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0xdc6503fd5c4ef6908fa84b5ceeff3397f94af82f58758225aa9120343eff18ed,27070335,999,Morpho,45,INFO,0x97c3507535c141b56bf2c228320715c72b821e72271404a87246028c58f33d72,3,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdhl_0x1f79fe1822f6bfe7a70f8e7e5e768efd0c3f10db52af97c2f14e4b71e3130e70_999,356041.481101,1.0266670041029853,2026-02-12T07:18:00.000000+0000,1.0,356041.481101,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDhl 0x1f79,MorphoMarket
"[{""aprType"":""SINGLE"",""apr"":0,""aprMetadata"":""0xe0a1de770a9a72a083087fe1745c998426aaea984ddf155ea3d5fbba5b759713""},{""aprType"":""SINGLE"",""apr"":0,""aprMetadata"":""0xa666cc1147beda1aa50fae4b40cb4c37a51230e84e80dcd31233487060913a8d""},{""aprType"":""SINGLE"",""apr"":0,""aprMetadata"":""0x96c7abf76aed53d50b2cc84e2ed17846e0d1c4cc28236d95b6eb3b12dcc86909""},{""aprType"":""SINGLE"",""apr"":8.2321,""aprMetadata"":""0x87272614b7a2022c31ddd7bba8eb21d5ab40a6bcbea671264d59dc732053721d""},{""aprType"":""SINGLE"",""apr"":0.0374,""aprMetadata"":""0x1f79fe1822f6bfe7a70f8e7e5e768efd0c3f10db52af97c2f14e4b71e3130e70""},{""aprType"":""SINGLE"",""apr"":1.4772,""aprMetadata"":""0xc0a3063a0a7755b7d58642e9a6d3be1c05bc974665ef7d3b158784348d4e17c5""}]","{""apr"":9.7467,""aprType"":""SINGLE""}","","",0.0,"","",0.0,"",AccrueInterest,9.7467,1.059388,1770880680.0,"",0x9c59a9389d8f72de2cdaf1126f36ea4790e2275e,0xdc6503fd5c4ef6908fa84b5ceeff3397f94af82f58758225aa9120343eff18ed,27070335,999,MetaMorpho,51,INFO,0x97c3507535c141b56bf2c228320715c72b821e72271404a87246028c58f33d72,3,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_felix_usdhl_999,484650.13676495134,1.059388,2026-02-12T07:18:00.000000+0000,1.0,513425.93192816386,0x9c59a9389D8f72DE2CdAf1126F36EA4790E2275e,Felix USDhl,MetaMorpho
[],"{""apr"":0,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-0.1669}]","{""apr"":-0.1669,""aprType"":""SINGLE""}",1.4800068510125355,[],"{""apr"":0,""aprType"":""SINGLE""}",0.000292,"",AccrueInterest,3.2108749656485736e-7,1.4769843798428213,1770880680.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0xdc6503fd5c4ef6908fa84b5ceeff3397f94af82f58758225aa9120343eff18ed,27070335,999,Morpho,54,INFO,0x97c3507535c141b56bf2c228320715c72b821e72271404a87246028c58f33d72,3,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdhl_0xe0a1de770a9a72a083087fe1745c998426aaea984ddf155ea3d5fbba5b759713_999,151.434728,1.4769843798428213,2026-02-12T07:18:00.000000+0000,1.0,151.434728,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDhl 0xe0a1,MorphoMarket
"[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_supply"",""apr"":33.7985}]","{""apr"":33.7985,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-34.1085}]","{""apr"":-34.1085,""aprType"":""SINGLE""}",1.0817074836587826,[],"{""apr"":0,""aprType"":""SINGLE""}",147453.881924,"",AccrueInterest,33.79852964560679,1.071876694559713,1770880680.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0xdc6503fd5c4ef6908fa84b5ceeff3397f94af82f58758225aa9120343eff18ed,27070335,999,Morpho,56,INFO,0x97c3507535c141b56bf2c228320715c72b821e72271404a87246028c58f33d72,3,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdhl_0x96c7abf76aed53d50b2cc84e2ed17846e0d1c4cc28236d95b6eb3b12dcc86909_999,147453.881924,1.071876694559713,2026-02-12T07:18:00.000000+0000,1.0,147453.881924,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDhl 0x96c7,MorphoMarket
"[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_supply"",""apr"":17.9781}]","{""apr"":17.9781,""aprType"":""SINGLE""}","[{""aprType"":""SINGLE"",""aprMetadata"":""morpho_borrow"",""apr"":-19.1388}]","{""apr"":-19.1388,""aprType"":""SINGLE""}",1.0735844937081191,[],"{""apr"":0,""aprType"":""SINGLE""}",231301.570403,"",AccrueInterest,17.97809687565952,1.0643771384432177,1770880680.0,"",0x68e37de8d93d3496ae143f2e900490f6280c57cd,0xdc6503fd5c4ef6908fa84b5ceeff3397f94af82f58758225aa9120343eff18ed,27070335,999,Morpho,60,INFO,0x97c3507535c141b56bf2c228320715c72b821e72271404a87246028c58f33d72,3,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,morpho_usdhl_0x87272614b7a2022c31ddd7bba8eb21d5ab40a6bcbea671264d59dc732053721d_999,244123.344224,1.0643771384432177,2026-02-12T07:18:00.000000+0000,1.0,244123.344224,0x68e37dE8d93d3496ae143F2E900490f6280C57cD,Morpho USDhl 0x8727,MorphoMarket
